ident,type,name,longitude,latitude,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,
PBAR,closed,Baker AAF,-176.478889,0.192639,,OC,UM,UM-81,Baker Island,PBAR,,,
PJON,closed,Johnston Atoll Airport,-169.533996582,16.7285995483,7,OC,UM,UM-67,Johnston Atoll,PJON,JON,,
PLPA,small_airport,Palmyra (Cooper) Airport,-162.077865600586,5.88874816894531,5,OC,UM,UM-95,Palmyra Island Atoll,PLPA,,P16,
PMDY,medium_airport,Henderson Field,-177.380996704102,28.2017002105713,13,OC,UM,UM-71,Sand Island,PMDY,MDY,MDY,
PWAK,medium_airport,Wake Island Airfield,166.636001586914,19.2821006774902,14,OC,UM,UM-79,Wake Island,PWAK,AWK,AWK,
UM-0001,closed,Midway Eastern Island Airfield,-177.330902099609,28.2093963623047,,OC,UM,UM-71,Eastern Island,,,,
00A,heliport,Total Rf Heliport,-74.9336013793945,40.07080078125,11,NA,US,US-PA,Bensalem,00A,,00A,
00AA,small_airport,Aero B Ranch Airport,-101.473911,38.704022,3435,NA,US,US-KS,Leoti,00AA,,00AA,
00AK,small_airport,Lowell Field,-151.695999146,59.94919968,450,NA,US,US-AK,Anchor Point,00AK,,00AK,
00AL,small_airport,Epps Airpark,-86.7703018188477,34.8647994995117,820,NA,US,US-AL,Harvest,00AL,,00AL,
00AR,closed,Newport Hospital & Clinic Heliport,-91.254898,35.6087,237,NA,US,US-AR,Newport,,,,
00AS,small_airport,Fulton Airport,-97.8180194,34.9428028,1100,NA,US,US-OK,Alex,00AS,,00AS,
00AZ,small_airport,Cordes Airport,-112.165000915527,34.3055992126465,3810,NA,US,US-AZ,Cordes,00AZ,,00AZ,
00CA,small_airport,Goldstone /Gts/ Airport,-116.888000488,35.3504981995,3038,NA,US,US-CA,Barstow,00CA,,00CA,
00CL,small_airport,Williams Ag Airport,-121.763427,39.427188,87,NA,US,US-CA,Biggs,00CL,,00CL,
00CN,heliport,Kitchen Creek Helibase Heliport,-116.4597417,32.7273736,3350,NA,US,US-CA,Pine Valley,00CN,,00CN,
00CO,closed,Cass Field,-104.344002,40.622202,4830,NA,US,US-CO,Briggsdale,,,,
00FA,small_airport,Grass Patch Airport,-82.2190017700195,28.6455001831055,53,NA,US,US-FL,Bushnell,00FA,,00FA,
00FD,heliport,Ringhaver Heliport,-82.3453979492188,28.8465995788574,25,NA,US,US-FL,Riverview,00FD,,00FD,
00FL,small_airport,River Oak Airport,-80.9692001342773,27.230899810791,35,NA,US,US-FL,Okeechobee,00FL,,00FL,
00GA,small_airport,Lt World Airport,-84.0682983398438,33.7675018310547,700,NA,US,US-GA,Lithonia,00GA,,00GA,
00GE,heliport,Caffrey Heliport,-84.7339019775391,33.8842010498047,957,NA,US,US-GA,Hiram,00GE,,00GE,
00HI,heliport,Kaupulehu Heliport,-155.980233,19.832715,43,NA,US,US-HI,Kailua/Kona,00HI,,00HI,
00ID,small_airport,Delta Shores Airport,-116.213996887207,48.1453018188477,2064,NA,US,US-ID,Clark Fork,00ID,,00ID,
00IG,small_airport,Goltl Airport,-101.395994,39.724028,3359,NA,US,US-KS,McDonald,00IG,,00IG,
00II,heliport,Bailey Generation Station Heliport,-87.122802734375,41.6445007324219,600,NA,US,US-IN,Chesterton,00II,,00II,
00IL,small_airport,Hammer Airport,-89.5604019165039,41.978401184082,840,NA,US,US-IL,Polo,00IL,,00IL,
00IN,heliport,St Mary Medical Center Heliport,-87.2605972290039,41.5113983154297,634,NA,US,US-IN,Hobart,00IN,,00IN,
00IS,small_airport,Hayenga's Cant Find Farms Airport,-89.1229019165039,40.0256004333496,820,NA,US,US-IL,Kings,00IS,,00IS,
00KS,small_airport,Hayden Farm Airport,-94.9304962158203,38.7277984619141,1100,NA,US,US-KS,Gardner,00KS,,00KS,
00KY,small_airport,Robbins Roost Airport,-84.6196975708008,37.4094009399414,1265,NA,US,US-KY,Stanford,00KY,,00KY,
00LA,heliport,Shell Chemical East Site Heliport,-90.980833,30.191944,15,NA,US,US-LA,Gonzales,00LA,,00LA,
00LL,heliport,Ac & R Components Heliport,-89.7055969238281,39.6652984619141,600,NA,US,US-IL,Chatham,00LL,,00LL,
00LS,small_airport,Lejeune Airport,-92.4293975830078,30.1362991333008,12,NA,US,US-LA,Esterwood,00LS,,00LS,
00MD,small_airport,Slater Field,-75.7537994384766,38.7570991516113,45,NA,US,US-MD,Federalsburg,00MD,,00MD,
00MI,heliport,Dow Chemical Heliport,-86.4167022705078,43.9494018554688,588,NA,US,US-MI,Ludington,00MI,,00MI,
00MN,small_airport,Battle Lake Municipal Airport,-95.7003021240234,46.2999992370605,1365,NA,US,US-MN,Battle Lake,00MN,,00MN,
00MO,small_airport,Cooper Flying Service Airport,-94.412399291992,37.202800750732,970,NA,US,US-MO,Alba,00MO,,00MO,
00MT,closed,Sands Ranch Airport,-109.705002,48.537498,2600,NA,US,US-MT,Havre,,,,
00N,small_airport,Bucks Airport,-75.1852035522461,39.473201751709,105,NA,US,US-NJ,Bridgeton,00N,,00N,
00NC,small_airport,North Raleigh Airport,-78.3713989257813,36.0852012634277,348,NA,US,US-NC,Louisburg,00NC,,00NC,
00NJ,heliport,Colgate-Piscataway Heliport,-74.4746017456055,40.5209007263184,78,NA,US,US-NJ,New Brunswick,00NJ,,00NJ,
